"lift_coef-rfile"
"Iteration" "lift_coef"
("Iteration" "lift_coef")
1 -0.05473885591488493
2 -0.03766369036072308
3 0.02352493874871122
4 0.05960349129393042
5 0.0515317494675744
6 0.02642155301394499
7 0.03373970019115926
8 0.08012660246381766
9 0.1524011708498832
10 0.2321062687330958
11 0.2925271090077806
12 0.2946939888898441
13 0.1908013879896078
14 0.06157050863933448
15 -0.0487392864370654
16 -0.04262630599302852
17 0.0162403761401513
18 0.07352076349028651
19 0.1216671629183207
20 0.1552121829573281
21 0.1701541226649512
22 0.1641035181836663
23 0.1413933072566115
24 0.1108859786197596
25 0.08548796488026551
26 0.0769496586727005
27 0.08232190339102179
28 0.0962538967804038
29 0.1132936924460215
30 0.1304350409579438
31 0.1472663185463581
32 0.1628642743625353
33 0.1760333988597128
34 0.1860577171136477
35 0.1930208172360214
36 0.1974417277255304
37 0.1999548553435153
38 0.2011411630492163
39 0.2014565494037651
40 0.2012416124053173
41 0.2007321030695141
42 0.200082726529973
43 0.1993907618627444
44 0.1987099344235539
45 0.1980723647964491
46 0.1974935309035301
47 0.1969803894016893
48 0.1965359398770548
49 0.1961574393708705
50 0.1958394700949172
51 0.1955775708071255
52 0.1953677711120965
53 0.1952060646730257
54 0.1950883489859758
55 0.1950102355774303
56 0.1949668787649421
57 0.1949532634560123
58 0.1949637038060422
59 0.1949936832890752
60 0.1950397848287318
61 0.1950980869631281
62 0.1951655547376056
63 0.1952386621230415
64 0.1953147032105643
65 0.1953919125883016
66 0.1954687172640021
67 0.195543091150357
68 0.1956138982807683
69 0.1956812149847815
70 0.1957448563135951
71 0.1958047738404705
72 0.1958608510854913
73 0.1959130092175657
74 0.1959613285934501
75 0.1960053068812321
76 0.1960451948264372
77 0.1960817376945267
78 0.1961154157286745
79 0.1961466372140412
80 0.1961755560339936
81 0.1962022606511181
82 0.1962268079937954
83 0.196249322604684
84 0.1962699634497914
85 0.1962888915248506
86 0.1963062613498537
87 0.1963221976870699
88 0.1963368087287487
89 0.1963501998903314
90 0.1963624746284484
91 0.1963737255724657
92 0.1963840325214146
93 0.1963934655323044
94 0.1964020901949795
95 0.1964099709815517
96 0.1964171656374758
97 0.196423729573223
98 0.1964297155162285
99 0.1964351713974815
100 0.1964401410501546
101 0.1964446665489208
102 0.1964487867258013
103 0.1964525380670487
104 0.1964559538507031
105 0.1964590637080122
106 0.1964618944385918
107 0.1964644707472666
108 0.1964668154178916
109 0.1964689492972768
110 0.1964708910880307
111 0.1964726579798493
112 0.1964742655457861
113 0.1964757279020802
114 0.1964770578987377
115 0.196478267215104
116 0.1964793665466677
117 0.1964803657034782
118 0.1964812736419167
119 0.1964820985195439
