"drag_coef-rfile"
"Iteration" "drag_coef"
("Iteration" "drag_coef")
1 4.183449829850085
2 2.035977746453511
3 0.9833034302117302
4 0.4929928778363491
5 0.2536425272420754
6 0.132969791462202
7 0.07177901244689051
8 0.04149764068794752
9 0.02831525155435919
10 0.02441092253726982
11 0.02528354711040933
12 0.02955604779057868
13 0.03460067969976846
14 0.03249978051970917
15 0.02284357238410798
16 0.01615564029758421
17 0.01281235819760733
18 0.01084139793397676
19 0.009957662886985354
20 0.00942637379495641
21 0.008867991809661401
22 0.008242072865446322
23 0.007622094339693227
24 0.007172715942091586
25 0.006948305790936328
26 0.006903609104043667
27 0.006915263764481604
28 0.006985103564299239
29 0.007100054475029714
30 0.007261893723511202
31 0.007490845010652304
32 0.007765890912696092
33 0.008061728664143944
34 0.008356057293239729
35 0.008640214411494653
36 0.008909962963333585
37 0.00916512755193474
38 0.009407051448138651
39 0.009637028692035039
40 0.009855967881882833
41 0.01006453531596983
42 0.01026331165945989
43 0.01045254510738246
44 0.0106323175516922
45 0.01080277816189823
46 0.01096387454790701
47 0.01111551200313145
48 0.01125774656881634
49 0.01139064102191146
50 0.01151424981171507
51 0.01162870049880936
52 0.01173429057441978
53 0.01183131781221271
54 0.01192026315434379
55 0.0120014690554929
56 0.01207541931806627
57 0.01214255135745608
58 0.0122032509853169
59 0.01225796135056159
60 0.01230714006117035
61 0.01235121559410619
62 0.01239067048176622
63 0.01242581490412798
64 0.01245615673577824
65 0.01248374399962475
66 0.01250865755923347
67 0.01253095083418214
68 0.01255004793703543
69 0.01256750393720779
70 0.01258332015340716
71 0.01259755073460607
72 0.01261029748270493
73 0.01262167952237456
74 0.01263183407693321
75 0.01264085122592483
76 0.01264844422532599
77 0.01265542047280951
78 0.01266177241956135
79 0.01266752149091473
80 0.01267269925570051
81 0.01267734555739999
82 0.012681504500113
83 0.01268522191093223
84 0.01268854310860978
85 0.01269150928184839
86 0.01269415870164709
87 0.01269652590115803
88 0.01269864098061908
89 0.01270053141796505
90 0.01270222104057015
91 0.01270373125391704
92 0.01270508114510337
93 0.01270628753625498
94 0.01270736555099487
95 0.01270832878425477
96 0.01270918929051232
97 0.01270995802834686
98 0.01271064449017302
99 0.01271125743092608
100 0.01271180458623258
101 0.01271229303121331
102 0.01271272887711429
103 0.01271311776395632
104 0.01271346460039946
105 0.0127137738407855
106 0.01271404947084656
107 0.01271429505867044
108 0.01271451379654976
109 0.01271470856678597
110 0.01271488191129702
111 0.01271503613534505
112 0.01271517328957167
113 0.01271529521165013
114 0.01271540354112463
115 0.01271549974765328
116 0.01271558514553726
117 0.01271566091182399
118 0.01271572810036692
119 0.01271578765345335
